ticket_id,title,status,created,updated,sprint,assignee,acceptance_criteria_met
[REED-S001-T00],Meta-Ticket: Arbeitsweise und Qualitätssicherung,active,2024-01-09 10:00:00,2025-08-06 19:30:00,S001,Claude,ongoing
[REED-S001-T01],Repository Setup und Ticket System,completed,2024-01-09 10:00:00,2024-01-09 10:15:00,S001,Claude,done
[REED-S001-T02],Analyse und Kategorisierung der Import-Dokumente,completed,2024-01-09 10:00:00,2025-08-06 14:45:00,S001,Claude,done
[REED-S001-T03],Core Architecture - UCG System,completed,2024-01-09 10:00:00,2025-08-06 21:15:00,S001,Claude,done
[REED-S001-T04],Core Architecture - EPC System,completed,2024-01-09 10:00:00,2025-08-06 21:30:00,S001,Claude,done
[REED-S001-T05],Core Architecture - 4-Layer Architecture,completed,2024-01-09 10:00:00,2025-08-06 22:05:00,S001,Claude,done
[REED-S001-T06],WCAG 2.2 Compliance System,inactive,2024-01-09 10:00:00,2024-01-09 10:00:00,S001,Claude,pending
[REED-S001-T07],Snippet System Grundlagen,inactive,2024-01-09 10:00:00,2024-01-09 10:00:00,S001,Claude,pending
[REED-S001-T08],Registry System,inactive,2024-01-09 10:00:00,2024-01-09 10:00:00,S001,Claude,pending
[REED-S001-T09],Template System (Tera + Web Components),inactive,2024-01-09 10:00:00,2024-01-09 10:00:00,S001,Claude,pending
[REED-S001-T10],Translation System (i18n),inactive,2024-01-09 10:00:00,2024-01-09 10:00:00,S001,Claude,pending
[REED-S001-T11],Theme Architecture,inactive,2024-01-09 10:00:00,2024-01-09 10:00:00,S001,Claude,pending
[REED-S001-T12],Context Scoping System,inactive,2024-01-09 10:00:00,2024-01-09 10:00:00,S001,Claude,pending
[REED-S001-T13],Feature Toggle Architecture,inactive,2024-01-09 10:00:00,2024-01-09 10:00:00,S001,Claude,pending
[REED-S001-T14],CLI Command Reference,inactive,2024-01-09 10:00:00,2024-01-09 10:00:00,S001,Claude,pending
[REED-S001-T15],Security Implementation,inactive,2024-01-09 10:00:00,2024-01-09 10:00:00,S001,Claude,pending
[REED-S001-T16],Content Firewall System,inactive,2024-01-09 10:00:00,2024-01-09 10:00:00,S001,Claude,pending
[REED-S001-T17],Plugin Architecture,inactive,2024-01-09 10:00:00,2024-01-09 10:00:00,S001,Claude,pending
